feature_index,feature,importance
1782,team2_stats.opponent-rbis-per-game.2023,50889100059.544876
1457,team2_stats.non-division-by-other.Hi,50453407048.97521
431,team1_stats.opponent-9th-inning-runs-per-game.Last 1,50408788947.74248
1063,team1_stats.walk-pct.2023,50365059682.399704
830,team1_stats.opponent-walks-per-game.Last 1,49844902798.269
1336,team2_stats.hits-per-game.2023,49428614646.17189
2127,team2_stats.team-left-on-base-per-game.2023,49416988669.702385
1048,team1_stats.vs-17-22-by-other.Hi,49308962173.253395
1607,team2_stats.opponent-errors-per-game.2023,48796600552.21564
751,team1_stats.opponent-stolen-bases-attempted.Away,48742289856.229294
2180,team2_stats.walks-per-9.2023,48608296567.7178
1842,team2_stats.opponent-singles-per-game.Last 1,48265823823.36742
306,team1_stats.last-3-innings-runs-per-game.2023,48131319384.9243
1873,team2_stats.opponent-strikeout-pct.2023,47797260824.157005
2085,team2_stats.stolen-bases-attempted-per-game.2023,47547232670.99078
1197,team2_stats.batting-average.2023,47527474823.89974
1298,team2_stats.future-sos-by-other.Lo,46997008687.77103
1861,team2_stats.opponent-stolen-bases-attempted.Away,46368297076.60217
1565,team2_stats.opponent-batting-average-on-balls-in-play.2023,46292852136.93627
1810,team2_stats.opponent-sacrifice-flys-per-game.2023,45680356408.887695
1119,team2_stats.2nd-inning-runs-per-game.2023,45473288287.539
1779,team2_stats.opponent-plate-appearances.Last 1,44956493296.61564
1754,team2_stats.opponent-on-base-pct.2023,44800450834.71974
943,team1_stats.shutouts.2024,44794566416.39576
1179,team2_stats.at-bats-per-game.Last 1,44631451140.12922
571,team1_stats.opponent-hits-per-game.Last 1,44545042672.58072
2028,team2_stats.sacrifice-hits-per-game.2023,44294950100.49504
1954,team2_stats.opponent-win-pct-all-games.Last 1,43851497771.198746
2205,team2_stats.win-pct-all-games.Last 1,43823363358.35588
2165,team2_stats.vs-23-30-by-other.Lo,43770778938.289536
640,team1_stats.opponent-no-run-first-inning-pct.Home,43517073248.70826
343,team1_stats.no-run-first-inning-pct.Home,43289736186.699234
697,team1_stats.opponent-runs-per-game.Last 1,42627546069.39642
2155,team2_stats.vs-11-16-by-other.Lo,42624368418.834625
2163,team2_stats.vs-23-30-by-other.Hi,42621607872.801346
2073,team2_stats.sos-basic-by-other.Hi,41864089766.839325
1833,team2_stats.opponent-shutouts.Away,41839696193.03168
891,team1_stats.run-differential.2024,41765560761.5567
1406,team2_stats.last-10-games-by-other.Lo,41431595626.629845
1467,team2_stats.on-base-pct.2023,41218251904.05781
609,team1_stats.opponent-last-2-innings-runs-per-game.2023,41194265694.87077
1329,team2_stats.hits-per-9.2023,41188899968.03657
2066,team2_stats.slugging-pct.2023,41077981284.34564
51,team1_stats.8th-inning-runs-per-game.2023,40737788990.44924
1625,team2_stats.opponent-extra-inning-runs-per-game.Last 1,40497808191.72279
1038,team1_stats.vs-1-5-by-other.Hi,40295161969.731575
2059,team2_stats.singles-per-game.2023,40225850626.21626
996,team1_stats.strikeouts-per-9.2023,39589274957.50322
364,team1_stats.on-base-plus-slugging-pct.2023,39460827288.03265
763,team1_stats.opponent-strikeout-pct.2023,39420144478.68499
1726,team2_stats.opponent-last-3-innings-runs-per-game.2023,39120723328.40521
1218,team2_stats.consistency-by-other.Hi,39106516473.61528
1548,team2_stats.opponent-at-bats-per-game.Last 1,39082083243.35272
1768,team2_stats.opponent-outs-pitched-per-game.2023,38739032013.37084
1834,team2_stats.opponent-shutouts.Home,38404889596.41192
2187,team2_stats.walks-per-game.2023,38141493193.51795
1887,team2_stats.opponent-strikeouts-per-game.2023,37794946159.68971
1537,team2_stats.opponent-9th-inning-runs-per-game.2023,37587233772.362
1530,team2_stats.opponent-8th-inning-runs-per-game.2023,37338432614.390915
536,team1_stats.opponent-first-6-innings-runs-per-game.Last 1,37316480533.10611
1028,team1_stats.total-bases-per-game.Last 1,37282645003.923065
722,team1_stats.opponent-shutouts.2024,37253768256.419106
935,team1_stats.secondary-average.2023,37209660488.74959
1852,team2_stats.opponent-stolen-base-pct.2023,36822180960.049805
518,team1_stats.opponent-first-4-innings-runs-per-game.2023,36729307758.19542
1017,team1_stats.team-left-on-base-per-game.2023,35487420309.074295
1632,team2_stats.opponent-first-4-innings-runs-per-game.Last 1,35209966170.65167
2000,team2_stats.run-differential.2023,34864792895.88097
1789,team2_stats.opponent-run-differential.2023,34863122695.55112
399,team1_stats.opponent-5th-inning-runs-per-game.2023,34705547164.5831
1513,team2_stats.opponent-5th-inning-runs-per-game.Last 1,34533273267.171005
1462,team2_stats.non-division-sos-by-other.Hi,34178411508.68164
1409,team2_stats.last-2-innings-runs-per-game.2023,34116046840.680206
2208,team2_stats.win-pct-close-games.2023,34038467175.971794
682,team1_stats.opponent-run-differential.Home,33414808578.121113
1308,team2_stats.grounded-into-double-plays-per-game.2023,33331669064.794075
1527,team2_stats.opponent-7th-inning-runs-per-game.Last 1,33280119514.225555
