2025-05-26 16:32:13 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 16:32:13 INFO     root: Postprocessing MLB on 2025-05-09
2025-05-26 16:32:14 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 16:32:14 INFO     root: Preprocessing NBA on 2025-05-08
2025-05-26 16:33:31 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 16:33:31 INFO     root: Postprocessing NBA on 2025-05-08
2025-05-26 16:33:31 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 16:33:31 INFO     root: Preprocessing MLB on 2025-05-08
2025-05-26 16:34:15 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/opponent-walks-per-9?date=2025-05-08, sleeping 4 minutes before retry
2025-05-26 16:39:01 INFO     root: populate_pregame_data: inserted/updated 9 rows, skipped 0 games.
2025-05-26 16:39:01 INFO     root: Postprocessing MLB on 2025-05-08
2025-05-26 16:39:01 INFO     root: Updated final scores for 9 games. Skipped 0 games.
2025-05-26 16:39:01 INFO     root: Preprocessing NBA on 2025-05-07
2025-05-26 16:41:40 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 16:41:40 INFO     root: Postprocessing NBA on 2025-05-07
2025-05-26 16:41:41 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 16:41:41 INFO     root: Preprocessing MLB on 2025-05-07
2025-05-26 16:44:06 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 16:44:06 INFO     root: Postprocessing MLB on 2025-05-07
2025-05-26 16:44:06 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 16:44:06 INFO     root: Preprocessing NBA on 2025-05-06
2025-05-26 16:44:07 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/points-per-game?date=2025-05-06, sleeping 4 minutes before retry
2025-05-26 16:49:29 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 16:49:29 INFO     root: Postprocessing NBA on 2025-05-06
2025-05-26 16:49:30 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 16:49:30 INFO     root: Preprocessing MLB on 2025-05-06
2025-05-26 16:51:17 INFO     root: populate_pregame_data: inserted/updated 16 rows, skipped 0 games.
2025-05-26 16:51:17 INFO     root: Postprocessing MLB on 2025-05-06
2025-05-26 16:51:17 INFO     root: Updated final scores for 15 games. Skipped 1 games.
2025-05-26 16:51:17 INFO     root: Preprocessing NBA on 2025-05-05
2025-05-26 16:51:17 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/points-per-game?date=2025-05-05, sleeping 4 minutes before retry
2025-05-26 16:56:37 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 16:56:37 INFO     root: Postprocessing NBA on 2025-05-05
2025-05-26 16:56:38 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 16:56:38 INFO     root: Preprocessing MLB on 2025-05-05
2025-05-26 16:58:09 INFO     root: populate_pregame_data: inserted/updated 10 rows, skipped 0 games.
2025-05-26 16:58:09 INFO     root: Postprocessing MLB on 2025-05-05
2025-05-26 16:58:09 INFO     root: Updated final scores for 9 games. Skipped 1 games.
2025-05-26 16:58:09 INFO     root: Preprocessing NBA on 2025-05-04
2025-05-26 16:58:15 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/fastbreak-efficiency?date=2025-05-04, sleeping 4 minutes before retry
2025-05-26 17:03:29 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 17:03:29 INFO     root: Postprocessing NBA on 2025-05-04
2025-05-26 17:03:30 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 17:03:30 INFO     root: Preprocessing MLB on 2025-05-04
2025-05-26 17:05:12 INFO     root: populate_pregame_data: inserted/updated 16 rows, skipped 0 games.
2025-05-26 17:05:12 INFO     root: Postprocessing MLB on 2025-05-04
2025-05-26 17:05:12 INFO     root: Updated final scores for 16 games. Skipped 0 games.
2025-05-26 17:05:12 INFO     root: Preprocessing NBA on 2025-05-03
2025-05-26 17:05:13 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/points-per-game?date=2025-05-03, sleeping 4 minutes before retry
