feature_index,feature,importance
1813,team2_stats.opponent-sacrifice-flys-per-game.2023,0.5535729387680242
1531,team2_stats.opponent-7th-inning-runs-per-game.Rank,0.5531340659938653
1347,team2_stats.hits-per-run.Away,0.5530105793019089
972,team1_stats.stolen-base-pct.Away,0.5528462430296058
296,team1_stats.last-10-games-by-other.Hi,0.545409745579709
1880,team2_stats.opponent-strikeout-pct.Last 3,0.5437938493476335
1584,team2_stats.opponent-double-plays-per-game.Home,0.5435425397723147
349,team1_stats.non-division-by-other.Hi,0.5431575537452247
1533,team2_stats.opponent-8th-inning-runs-per-game.2023,0.542333609766343
1566,team2_stats.opponent-batting-average.Rank,0.5417561769064136
1171,team2_stats.9th-inning-runs-per-game.2023,0.5405291860143469
1229,team2_stats.double-plays-per-game.2023,0.5379153343517928
1021,team1_stats.team-left-on-base-per-game.Away,0.5378844007721508
840,team1_stats.opponent-walks-plus-hits--per--innings-pitched.Last 3,0.535557680835086
73,team1_stats.at-bats-per-game.Rank,0.5353586287629183
1577,team2_stats.opponent-caught-stealing-per-game.Home,0.5344014830360481
659,team1_stats.opponent-on-base-plus-slugging-pct.Rank,0.5342761334315689
1246,team2_stats.earned-run-average.Last 1,0.5338764480447914
45,team1_stats.6th-inning-runs-per-game.Rank,0.5322906890275362
128,team1_stats.doubles-per-game.Home,0.5314830528265987
1273,team2_stats.extra-inning-runs-per-game.Home,0.5309133993338256
673,team1_stats.opponent-plate-appearances.Rank,0.5308297399717171
1381,team2_stats.home-runs-per-9.Rank,0.5307336129004568
94,team1_stats.batting-average.Last 3,0.529453979929752
357,team1_stats.non-division-sos-by-other.Rank,0.5287969000408196
1238,team2_stats.doubles-per-game.Home,0.5280011652923435
269,team1_stats.home-runs-per-9.Last 1,0.5272910200767497
189,team1_stats.future-sos-by-other.Last,0.5270226180236477
1828,team2_stats.opponent-secondary-average.Away,0.5238804700925955
34,team1_stats.5th-inning-runs-per-game.Away,0.5235476561444248
1360,team2_stats.home-by-other.Hi,0.5225911345308771
1010,team1_stats.strikeouts-per-game.Last 3,0.5225469072990995
1042,team1_stats.vs-1-5-by-other.Lo,0.5180589172244119
1490,team2_stats.opponent-2nd-inning-runs-per-game.2022,0.5174210553071917
2111,team2_stats.strikeouts-per-9.Home,0.5173786444301656
1666,team2_stats.opponent-hits-for-extra-bases-pct.2023,0.5163491661665156
